"","Type","Cap_shape","odor","stalk_root","veil_type","population"
"1817","poisonous","convex","foul","bulbous","partial","solitary"
"2129","poisonous","convex","foul","bulbous","partial","solitary"
"2179","poisonous","convex","foul","bulbous","partial","solitary"
"2239","poisonous","convex","foul","bulbous","partial","solitary"
"2386","poisonous","convex","foul","bulbous","partial","solitary"
"2444","poisonous","convex","foul","bulbous","partial","solitary"
"2534","poisonous","convex","foul","bulbous","partial","solitary"
"2540","poisonous","convex","foul","bulbous","partial","solitary"
"2567","poisonous","convex","foul","bulbous","partial","solitary"
"2698","poisonous","convex","foul","bulbous","partial","solitary"
"2771","poisonous","convex","foul","bulbous","partial","solitary"
"2904","poisonous","convex","foul","bulbous","partial","solitary"
"2927","poisonous","convex","foul","bulbous","partial","solitary"
"3004","poisonous","convex","foul","bulbous","partial","solitary"
"3010","poisonous","convex","foul","bulbous","partial","solitary"
"3018","poisonous","convex","foul","bulbous","partial","solitary"
"3028","poisonous","convex","foul","bulbous","partial","solitary"
"3061","poisonous","convex","foul","bulbous","partial","solitary"
"3065","poisonous","convex","foul","bulbous","partial","solitary"
"3076","poisonous","flat","foul","bulbous","partial","solitary"
"3088","poisonous","convex","foul","bulbous","partial","solitary"
"3090","poisonous","convex","foul","bulbous","partial","solitary"
"3091","poisonous","convex","foul","bulbous","partial","solitary"
"3092","poisonous","convex","foul","bulbous","partial","solitary"
"3103","poisonous","convex","foul","bulbous","partial","solitary"
"3104","poisonous","flat","foul","bulbous","partial","solitary"
"3123","poisonous","convex","foul","bulbous","partial","solitary"
"3142","poisonous","convex","foul","bulbous","partial","solitary"
"3153","poisonous","convex","foul","bulbous","partial","solitary"
"3160","poisonous","convex","foul","bulbous","partial","solitary"
"3189","poisonous","convex","foul","bulbous","partial","solitary"
"3202","poisonous","flat","foul","bulbous","partial","solitary"
"3206","poisonous","convex","foul","bulbous","partial","solitary"
"3227","poisonous","convex","foul","bulbous","partial","solitary"
"3232","poisonous","convex","foul","bulbous","partial","solitary"
"3234","poisonous","convex","foul","bulbous","partial","solitary"
"3244","poisonous","convex","foul","bulbous","partial","solitary"
"3246","poisonous","convex","foul","bulbous","partial","solitary"
"3247","poisonous","convex","foul","bulbous","partial","solitary"
"3249","poisonous","convex","foul","bulbous","partial","solitary"
"3260","poisonous","convex","foul","bulbous","partial","solitary"
"3265","poisonous","convex","foul","bulbous","partial","solitary"
"3266","poisonous","convex","foul","bulbous","partial","solitary"
"3275","poisonous","convex","foul","bulbous","partial","solitary"
"3301","poisonous","convex","foul","bulbous","partial","solitary"
"3314","poisonous","convex","foul","bulbous","partial","solitary"
"3329","poisonous","convex","foul","bulbous","partial","solitary"
"3342","poisonous","convex","foul","bulbous","partial","solitary"
"3350","poisonous","convex","foul","bulbous","partial","solitary"
"3363","poisonous","flat","foul","bulbous","partial","solitary"
"3364","poisonous","convex","foul","bulbous","partial","solitary"
"3373","poisonous","convex","foul","bulbous","partial","solitary"
"3390","poisonous","convex","foul","bulbous","partial","solitary"
"3400","poisonous","convex","foul","bulbous","partial","solitary"
"3403","poisonous","convex","foul","bulbous","partial","solitary"
"3418","poisonous","convex","foul","bulbous","partial","solitary"
"3438","poisonous","flat","foul","bulbous","partial","solitary"
"3448","poisonous","convex","foul","bulbous","partial","solitary"
"3452","poisonous","convex","foul","bulbous","partial","solitary"
"3466","poisonous","convex","foul","bulbous","partial","solitary"
"3491","poisonous","convex","foul","bulbous","partial","solitary"
"3497","poisonous","convex","foul","bulbous","partial","solitary"
"3509","poisonous","convex","foul","bulbous","partial","solitary"
"3540","poisonous","convex","foul","bulbous","partial","solitary"
"3557","poisonous","convex","foul","bulbous","partial","solitary"
"3571","poisonous","flat","foul","bulbous","partial","solitary"
"3573","poisonous","convex","foul","bulbous","partial","solitary"
"3595","poisonous","flat","foul","bulbous","partial","solitary"
"3598","poisonous","convex","foul","bulbous","partial","solitary"
"3609","poisonous","flat","foul","bulbous","partial","solitary"
"3615","poisonous","convex","foul","bulbous","partial","solitary"
"3622","poisonous","convex","foul","bulbous","partial","solitary"
"3631","poisonous","convex","foul","bulbous","partial","solitary"
